R,G,B,label,distance
77,84,92,Blue,0.5cm
75,85,93,Blue,0.5cm
75,85,93,Blue,0.5cm
74,86,94,Blue,0.5cm
74,86,94,Blue,0.5cm
75,86,93,Blue,0.5cm
74,86,94,Blue,0.5cm
74,86,94,Blue,0.5cm
75,86,93,Blue,0.5cm
75,85,93,Blue,0.5cm
77,84,92,Blue,0.5cm
78,84,92,Blue,0.5cm
72,87,95,Blue,0.5cm
73,86,95,Blue,0.5cm
74,86,94,Blue,0.5cm
73,86,94,Blue,0.5cm
74,86,94,Blue,0.5cm
76,85,93,Blue,0.5cm
76,85,93,Blue,0.5cm
75,85,93,Blue,0.5cm
77,84,92,Blue,0.5cm
77,85,92,Blue,0.5cm
76,85,93,Blue,0.5cm
78,84,92,Blue,0.5cm
78,84,91,Blue,0.5cm
76,85,93,Blue,0.5cm
78,87,89,Blue,0.5cm
77,84,92,Blue,0.5cm
77,84,92,Blue,0.5cm
78,84,92,Blue,0.5cm
77,84,92,Blue,0.5cm
78,84,92,Blue,0.5cm
78,84,91,Blue,0.5cm
77,84,92,Blue,0.5cm
78,84,92,Blue,0.5cm
80,83,90,Blue,0.5cm
79,83,91,Blue,0.5cm
79,84,91,Blue,0.5cm
79,83,91,Blue,0.5cm
80,83,91,Blue,0.5cm
79,83,91,Blue,0.5cm
79,83,91,Blue,0.5cm
79,83,91,Blue,0.5cm
79,83,91,Blue,0.5cm
79,83,91,Blue,0.5cm
78,84,92,Blue,0.5cm
79,83,91,Blue,0.5cm
79,83,91,Blue,0.5cm
78,84,92,Blue,0.5cm
79,84,91,Blue,0.5cm
